"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that user is unable to log in using a username of an account that doesn't exist in the application's database, and is being shown an error with the expected description.","902","shouldShowErrorWhenUsingNonexistentAccount()","","Fri Aug 22 14:00:33 UTC 2025","passed","Fri Aug 22 14:00:34 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWhenUsingNonexistentAccount"
"Validates that the checkout flow is disabled for an empty cart.","0","shouldNotBeAbleToCheckoutEmptyCart()","","Fri Aug 22 14:00:31 UTC 2025","skipped","Fri Aug 22 14:00:31 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldNotBeAbleToCheckoutEmptyCart"
"Validates that the state of cart icon on Products Page changes accordingly when adding items to the cart. After entering the cart, removing the items, and going back to Products Page, the cart icon should be showing that the cart is empty.","5053","shouldAddProductsOnProductsPageAndRemoveThemInCart()","","Fri Aug 22 14:00:05 UTC 2025","passed","Fri Aug 22 14:00:10 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldAddProductsOnProductsPageAndRemoveThemInCart"
"Validates that the user is logged out after clicking on logout button, the user is successfully logged out, and does not retain access to protected resources anymore.","1707","shouldLogoutSuccessfullyAndLoseAccess()","","Fri Aug 22 14:00:40 UTC 2025","passed","Fri Aug 22 14:00:42 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldLogoutSuccessfullyAndLoseAccess"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","903","shouldShowErrorWithInvalidPassword(UserCredentials, String) [2] UserCredentials[username=standard_user, password=secret_but_wrong], Epic sadface: Username and password do not match any user in this service","","Fri Aug 22 14:00:35 UTC 2025","passed","Fri Aug 22 14:00:36 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that checkout flow can be cancelled on the checkout form point, and retain cart data. The user is being redirected to the cart after clicking on cancel button.","1694","shouldReturnToCartAfterClickingCancelOnFormPage()","","Fri Aug 22 14:00:24 UTC 2025","passed","Fri Aug 22 14:00:26 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldReturnToCartAfterClickingCancelOnFormPage"
"Validates that state of cart icon on Products Page changed.","998","shouldSuccessfullyAddProductToCart()","","Fri Aug 22 14:00:10 UTC 2025","passed","Fri Aug 22 14:00:11 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldSuccessfullyAddProductToCart"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","830","shouldShowErrorWithInvalidPassword(UserCredentials, String) [3] UserCredentials[username=locked_out_user, password=secret_sauce], Epic sadface: Sorry, this user has been locked out.","","Fri Aug 22 14:00:36 UTC 2025","passed","Fri Aug 22 14:00:37 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that the user is unable to log in with incorrect password, they are being shown an error with the expected description, and both the username and password field retain the same data entered by user before they clicked login button.","889","shouldKeepFieldsStateAfterUnsuccessfulLogin()","","Fri Aug 22 14:00:38 UTC 2025","passed","Fri Aug 22 14:00:38 UTC 2025","","org.saucedemo.tests.authentication.LoginPageUITest","org.saucedemo.tests.authentication.LoginPageUITest","shouldKeepFieldsStateAfterUnsuccessfulLogin"
"Validates that the user is able to log in using valid credentials.","942","shouldLoginSuccessfullyWithValidCredentials()","","Fri Aug 22 14:00:32 UTC 2025","passed","Fri Aug 22 14:00:33 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldLoginSuccessfullyWithValidCredentials"
