"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that checkout flow can be cancelled on the checkout form point, and retain cart data. The user is being redirected to the cart after clicking on cancel button.","1806","shouldReturnToCartAfterClickingCancelOnFormPage()","","Fri Aug 22 14:36:56 UTC 2025","passed","Fri Aug 22 14:36:58 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldReturnToCartAfterClickingCancelOnFormPage"
"Validates that the user is able to log in using valid credentials.","1037","shouldLoginSuccessfullyWithValidCredentials()","","Fri Aug 22 14:37:05 UTC 2025","passed","Fri Aug 22 14:37:06 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldLoginSuccessfullyWithValidCredentials"
"Validates that state of cart icon on Products Page changed.","1174","shouldSuccessfullyAddProductToCart()","","Fri Aug 22 14:36:41 UTC 2025","passed","Fri Aug 22 14:36:42 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldSuccessfullyAddProductToCart"
"Validates that the checkout flow is disabled for an empty cart.","0","shouldNotBeAbleToCheckoutEmptyCart()","","Fri Aug 22 14:37:04 UTC 2025","skipped","Fri Aug 22 14:37:04 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldNotBeAbleToCheckoutEmptyCart"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","1711","shouldShowErrorWithInvalidPassword(UserCredentials, String) [2] UserCredentials[username=standard_user, password=secret_but_wrong], Epic sadface: Username and password do not match any user in this service","","Fri Aug 22 14:37:08 UTC 2025","passed","Fri Aug 22 14:37:10 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that checkout flow can be cancelled on the last order step, and retain cart data. The user is being redirected to the Products Page after clicking on cancel button.","1847","shouldReturnToProductsPageAfterClickingCancelOnLastOrderStep()","","Fri Aug 22 14:37:00 UTC 2025","passed","Fri Aug 22 14:37:02 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldReturnToProductsPageAfterClickingCancelOnLastOrderStep"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","988","shouldShowErrorWithInvalidPassword(UserCredentials, String) [3] UserCredentials[username=locked_out_user, password=secret_sauce], Epic sadface: Sorry, this user has been locked out.","","Fri Aug 22 14:37:10 UTC 2025","passed","Fri Aug 22 14:37:11 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that clicking on 'Reset App State' button on the sidebar results in emptying the cart and resetting the state of 'Add to Cart' buttons on the Products Page assigned to the items that were previously added to the cart.","1946","shouldResetCartAndUIStateWithResetAppState()","","Fri Aug 22 14:36:46 UTC 2025","passed","Fri Aug 22 14:36:48 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldResetCartAndUIStateWithResetAppState"
"Validates that the user is unable to log in without entering neither username nor password, and is being shown an error with the expected description.","850","shouldShowErrorWithEmptyCredentials()","","Fri Aug 22 14:37:04 UTC 2025","passed","Fri Aug 22 14:37:05 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithEmptyCredentials"
"Validates that user is unable to log in using a username of an account that doesn't exist in the application's database, and is being shown an error with the expected description.","1025","shouldShowErrorWhenUsingNonexistentAccount()","","Fri Aug 22 14:37:06 UTC 2025","passed","Fri Aug 22 14:37:07 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWhenUsingNonexistentAccount"
"Validates that unauthenticated user cannot access protected resources.","877","shouldNotAllowAccessForUnauthenticatedUser()","","Fri Aug 22 14:37:14 UTC 2025","passed","Fri Aug 22 14:37:15 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldNotAllowAccessForUnauthenticatedUser"
"Validates that the user can add an item to the cart, and the item across the whole checkout flow stays consistent with the one added by the user. The checkout can be completed and the user can be redirected to Products Page by clicking 'Back Home' button. The cart has 0 items inside.","2273","shouldPlaceOrderSuccessfully()","","Fri Aug 22 14:36:58 UTC 2025","passed","Fri Aug 22 14:37:00 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldPlaceOrderSuccessfully"
"Validates that after opening the sidebar and clicking on the 'About' link, the user is redirected to Sauce Labs landing page.","4735","shouldRedirectToAboutPage()","","Fri Aug 22 14:36:52 UTC 2025","passed","Fri Aug 22 14:36:56 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldRedirectToAboutPage"
"Validates that logged in user is logged out when their session expires, and is redirected to login page where they're being shown an expected error message.","1175","shouldRedirectToLoginPageWhenSessionExpires()","","Fri Aug 22 14:37:13 UTC 2025","passed","Fri Aug 22 14:37:14 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldRedirectToLoginPageWhenSessionExpires"
"Validates that sidebar is no longer visible after it's been clicked by the user.","2263","shouldCloseSidebarWhenClickingOnCloseButton()","","Fri Aug 22 14:36:48 UTC 2025","passed","Fri Aug 22 14:36:50 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldCloseSidebarWhenClickingOnCloseButton"
"Validates that clicking on 'Reset App State' does not result in application crash.","1674","shouldNotFailResetAppStateWhenCartIsEmpty()","","Fri Aug 22 14:36:50 UTC 2025","passed","Fri Aug 22 14:36:52 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldNotFailResetAppStateWhenCartIsEmpty"
"Validates that the checkout can only proceed once the user fills in the checkout form with the correct data.","1626","shouldFailToCheckoutWithoutValidUserData()","","Fri Aug 22 14:37:02 UTC 2025","passed","Fri Aug 22 14:37:04 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldFailToCheckoutWithoutValidUserData"
"Validates that the user is unable to log in with incorrect password, they are being shown an error with the expected description, and both the username and password field retain the same data entered by user before they clicked login button.","1066","shouldKeepFieldsStateAfterUnsuccessfulLogin()","","Fri Aug 22 14:37:12 UTC 2025","passed","Fri Aug 22 14:37:13 UTC 2025","","org.saucedemo.tests.authentication.LoginPageUITest","org.saucedemo.tests.authentication.LoginPageUITest","shouldKeepFieldsStateAfterUnsuccessfulLogin"
"Validates that the user is logged out after clicking on logout button, the user is successfully logged out, and does not retain access to protected resources anymore.","1839","shouldLogoutSuccessfullyAndLoseAccess()","","Fri Aug 22 14:37:15 UTC 2025","passed","Fri Aug 22 14:37:17 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldLogoutSuccessfullyAndLoseAccess"
"Validates that the state of cart icon on Products Page changes accordingly when adding and removing items from the cart.","1438","shouldAddAndRemoveProductsFromCartViaProductsPage()","","Fri Aug 22 14:36:42 UTC 2025","passed","Fri Aug 22 14:36:44 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldAddAndRemoveProductsFromCartViaProductsPage"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","1018","shouldShowErrorWithInvalidPassword(UserCredentials, String) [1] UserCredentials[username=just_wrong_user, password=secret_sauce], Epic sadface: Username and password do not match any user in this service","","Fri Aug 22 14:37:07 UTC 2025","passed","Fri Aug 22 14:37:08 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that the state of cart icon on Products Page changes accordingly when adding items to the cart. After entering the cart, removing the items, and going back to Products Page, the cart icon should be showing that the cart is empty.","11175","shouldAddProductsOnProductsPageAndRemoveThemInCart()","","Fri Aug 22 14:36:30 UTC 2025","passed","Fri Aug 22 14:36:41 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldAddProductsOnProductsPageAndRemoveThemInCart"
"Validates that the user is unable to log in with credentials assigned to a user whose account has been locked out of access to the site, and is being shown an error with the expected description.","981","shouldShowErrorWhenUsingLockedAccount()","","Fri Aug 22 14:37:11 UTC 2025","passed","Fri Aug 22 14:37:12 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWhenUsingLockedAccount"
